Timestamp,Temperature_C,Humidity_RH
2026-08-27 12:07:08,29.14,72.36
2026-08-27 12:07:38,29.2,72.37
2026-08-27 12:08:08,29.21,72.39
2026-08-27 12:08:38,29.26,72.22
2026-08-27 12:09:08,29.39,72.12
2026-08-27 12:09:38,29.34,72.14
2026-08-27 12:10:08,29.29,71.82
2026-08-27 12:10:38,29.41,71.79
2026-08-27 12:11:08,29.38,71.94
2026-08-27 12:11:38,29.51,71.81
2026-08-27 12:12:08,29.53,71.56
2026-08-27 12:12:38,29.48,71.61
2026-08-27 12:13:09,29.39,71.43
2026-08-27 12:13:39,29.38,71.31
2026-08-27 12:14:09,29.42,71.3
2026-08-27 12:14:39,29.42,71.28
2026-08-27 12:15:09,29.44,71.2
2026-08-27 12:15:39,29.53,71.36
2026-08-27 12:16:09,29.45,71.37
2026-08-27 12:16:39,29.49,71.42
2026-08-27 12:17:09,29.51,71.12
2026-08-27 12:17:39,29.49,71.13
2026-08-27 12:18:09,29.53,71.12
2026-08-27 12:18:39,29.45,71.26
2026-08-27 12:19:09,29.51,71.12
2026-08-27 12:19:39,29.56,71.03
2026-08-27 12:20:09,29.6,70.99
2026-08-27 12:20:39,29.51,71.0
2026-08-27 12:21:09,29.51,70.96
2026-08-27 12:21:39,29.53,70.92
2026-08-27 12:22:09,29.55,70.94
2026-08-27 12:22:40,29.49,70.85
2026-08-27 12:23:10,29.55,70.85
2026-08-27 12:23:40,29.41,71.0
2026-08-27 12:24:10,29.52,70.95
2026-08-27 12:24:40,29.55,71.13
2026-08-27 12:25:10,29.51,71.09
2026-08-27 12:25:40,29.48,71.17
2026-08-27 12:26:10,29.6,71.07
2026-08-27 12:26:40,29.53,71.2
2026-08-27 12:27:10,29.55,71.05
2026-08-27 12:27:40,29.49,71.03
2026-08-27 12:28:10,29.58,71.01
2026-08-27 12:28:40,29.51,71.0
2026-08-27 12:29:10,29.53,70.91
2026-08-27 12:29:40,29.49,71.05
2026-08-27 12:30:10,29.51,71.01
2026-08-27 12:30:40,29.58,71.03
2026-08-27 12:31:10,29.58,71.06
2026-08-27 12:31:41,29.51,70.95
2026-08-27 12:32:11,29.56,71.01
2026-08-27 12:32:41,29.52,71.0
2026-08-27 12:33:11,29.62,71.12
2026-08-27 12:33:41,29.48,71.11
2026-08-27 12:34:11,29.59,71.16
2026-08-27 12:34:41,29.6,71.31
2026-08-27 12:35:11,29.6,71.28
2026-08-27 12:35:41,29.55,71.08
2026-08-27 12:36:11,29.59,71.14
2026-08-27 12:36:41,29.58,71.14
2026-08-27 12:37:11,29.69,71.15
2026-08-27 12:37:41,29.66,71.13
2026-08-27 12:38:11,29.58,71.05
2026-08-27 12:38:41,29.65,71.18
2026-08-27 12:39:11,29.65,71.17
2026-08-27 12:39:41,29.63,70.99
2026-08-27 12:40:11,29.6,71.01
2026-08-27 12:40:41,29.67,70.88
2026-08-27 12:41:12,29.65,70.86
2026-08-27 12:41:42,29.62,70.85
2026-08-27 12:42:12,29.66,70.97
2026-08-27 12:42:42,29.59,71.03
2026-08-27 12:43:12,29.7,71.13
2026-08-27 12:43:42,29.55,70.94
2026-08-27 12:44:12,29.53,71.19
2026-08-27 12:44:42,29.6,71.01
2026-08-27 12:45:12,29.56,70.93
2026-08-27 12:45:42,29.63,70.98
2026-08-27 12:46:12,29.52,71.05
2026-08-27 12:46:42,29.62,71.13
2026-08-27 12:47:12,29.63,71.28
2026-08-27 12:47:42,29.62,71.24
2026-08-27 12:48:12,29.58,71.03
2026-08-27 12:48:42,29.66,71.09
2026-08-27 12:49:12,29.67,70.96
2026-08-27 12:49:42,29.69,70.87
2026-08-27 12:50:12,29.65,70.92
